,0
389, Som Parkash 
390, Vijay Kumar Singh General (Retd.) 
391, S.P. Singh Baghel 
392, Harsimrat Kaur Badal 
393, Kailash Choudhary 
394, Ashwini Kumar Choubey 
395, Shantanu Thakur 
396, Nisith Pramanik 
397, Prahlad Singh Patel 
398, Kapil Moreshwar Patil 
399, Krishan Pal Gurjar 
400, John Barla 
401, Pashupati Kumar Paras 
402, Chandeshwar Prasad 
403, Sonia Gandhi 
404, Gautham Sigamani Pon 
405, Hasmukhbhai Somabhai Patel 
406, Annasaheb Shankar Jolle 
407, Balak Nath 
408, Sri Krishna Devarayalu Lavu 
409, Dayanidhi Maran 
410, Sadashiv Kisan Lokhande 
411, Sunil Baburao Mendhe 
412, Preneet Kaur 
413, Gaurav Gogoi 
414, Agatha K. Sangma 
415, Pralhad Venkatesh Joshi 
416, Faggan Singh Kulaste 
417, Anurag Singh Thakur 
418, Dipsinh Shankarsinh Rathod 
419, Sanjay Jaiswal 
420, (Smt.) Kakoli Ghosh Dastidar 
421,  Dr. DNV Senthilkumar S. 
422,  Shri Gopal Jee Thakur 
423, Mohanbhai Kalyanji Kundariya 
424, Chhatar Singh Darbar 
425, Anantkumar Hegde 
426, Sangamlal Kadedin Gupta 
427, Pankaj Chaudhary 
428, Raju Bista 
429, Suresh Kodikunnil 
430, Ramesh Bidhuri 
431, Faizal P.P. Mohammed 
432, Abu Hasem Khan Choudhury 
433,  Prince Raj 
434, Rajashree Mallick 
435, Ramesh Chandra Majhi 
436,  Bhagirath Chaudhary 
437, Rahul Kaswan 
438, Hemant Tukaram Godse 
439, Santosh Kumar 
440, Sanjay Haribhau Jadhav 
441, Pinaki Misra 
442, Raj Hans Hans 
443, Vijay Kumar 
444,  Chinta Anuradha 
445, Mahendra Nath Pandey 
446, Kripanath Mallah 
447, Prathap Simha 
448, Magunta Sreenivasulu Reddy 
449, T.N. Prathapan 
450, M. K. Raghavan 
451, Ravindra Kushawaha 
452, Bidyut Baran Mahato 
453, Vinod Chavda 
454,  Dharambir Singh 
455, Veena Devi 
456, Raj Kumar Singh 
457, Poonamben Hematbhai Maadam 
458, Arjunlal Meena 
459, Omprakash Bhupalsingh alias Pavan Rajenimbalkar 
460, Arvind Dharmapuri 
461, Manjulata Mandal 
462, Chhedi Paswan 
463, Kamlesh Paswan 
464, T.R.V.S. Ramesh 
465, Anupriya Patel 
466, Ashok Kumar Rawat 
467, Upendra Singh Rawat 
468, Lalubhai Babubhai Patel 
469, Ramprit Mandal 
470, Raghu Ramakrishna Raju Kanumuru 
471, Chirag Paswan 
472, Jaskaur Meena 
473, Kuruva Gorantla Madhav 
474, Dileshwar Kamait 
475, Sanganna Amarappa Karadi 
476, Kishan Reddy Gangapuram 
477, Ramya Haridas 
478, Narendra Modi 
479, Dulal Chandra Goswami 
480, Diya Kumari 
481, Ranjeeta Koli 
482, Manoj Kishorbhai Kotak 
483, Navneet Ravi Rana 
484, Amol Ramsing Kolhe 
485, Hemant Shriram Patil 
486, Keshari Devi Patel 
487, Akshaibar Lal 
488,"  Kunwar, Shri Danish Ali "
489, Thomas Chazhikadan 
490, Adoor Prakash 
491, Geeta Kora 
492, Chandra Prakash Choudhary 
493, Kishan Kapoor 
494, Saikia Dilip 
495, Topon Kumar Gogoi 
496, Abdul Khaleque 
497, Goddeti Madhavi 
498, Srinivas Reddy Manne 
499, Gajendra Singh Patel 
500, Guman Singh Damor 
501, Jyotirmay Singh Mahato 
502, Rameshbhai Lavjibhai Dhaduk 
503, Bharatsinhji Shankarji Dabhi 
504, Deepak Baij 
505, Tirath Singh Rawat 
506, Suresh Kumar Pujari 
507, A. Chellakumar 
508, Veeraswamy Kalanidhi 
509, S. Gnanathiraviam 
510, Rajendra Dhedya Gavit 
511, Pritam Gopinath Rao Munde 
512, Nitin Jairam Gadkari 
513, Gajanan Chandrakant Kirtikar 
514, Pratima Mondal 
515, Rajeshbhai Naranbhai Chudasama 
516, Aparupa Poddar 
517, K. C. Patel 
518, Kirron Kher 
519, Vishnu Dayal Ram 
520, Srinivas Kesineni 
521, Sanjay(Kaka) Ramchandra Patil 
522, Mukesh Rajput 
523, Sudheer Gupta 
524, Mehboob Ali Kaiser 
525, Narendra Singh Tomar 
526, Choudhury Mohan Jatua 
527, Kaushalendra Kumar 
528, Naranbhai Bhikhabhai Kachhadiya 
529, R.K. Singh Patel 
530, Arjun Munda 
531, (Dr.) Ram Shankar Katheria 
532, Raj Nath Singh 
533, Kiren Rijiju 
534, Rama Devi 
535, Bhanu Pratap Singh Verma 
536, N.K. Premachandran 
537, Sougata Ray 
538, Shripad Yesso Naik 
539, Ramesh Chandappa Jigajinagi 
540,  Jai Prakash 
541, Maneka Sanjay Gandhi 
